Parameters:
K = 928
cycle = 18
D1 = 526102
D2 = 633155
alpha_rep1 = 0.01853472
alpha_rep2 = 0.01361968
log_likelihood_rep1 = 379.655303
log_likelihood_rep2 = 1017.662700
convergence_rep1 = 0
convergence_rep2 = 0

Species	N_rep1	r_rep1	N_rep2	r_rep2
285	4942.007442	0.00005947	473.817625	0.00000570
286	8363.397211	0.00010065	6949.325203	0.00008362
287	1330.540464	0.00001601	3316.723391	0.00003991
288	22999.342331	0.00027678	28271.118445	0.00034019
289	4371.775814	0.00005261	1737.331299	0.00002091
290	1710.694884	0.00002059	1105.574462	0.00001330
291	1710.694882	0.00002059	3000.844973	0.00003611
292	5702.316280	0.00006862	1895.270509	0.00002281
293	19197.798144	0.00023103	25270.273470	0.00030408
294	1140.463255	0.00001372	631.756834	0.00000760
295	20528.338610	0.00024704	15004.224872	0.00018055
296	7222.933954	0.00008692	20847.975612	0.00025086
297	3231.312558	0.00003889	473.817625	0.00000570
298	13305.404654	0.00016012	11055.744642	0.00013303
299	4751.930233	0.00005718	4422.297856	0.00005321
300	10454.246513	0.00012581	21637.671658	0.00026037
301	2851.158139	0.00003431	1263.513672	0.00001520
302	3801.544186	0.00004575	1263.513673	0.00001520
303	11784.786979	0.00014182	17057.434591	0.00020525
304	2090.849302	0.00002516	473.817628	0.00000570
305	760.308836	0.00000915	1263.513672	0.00001520
306	7983.242792	0.00009607	8054.899667	0.00009693
307	50940.692108	0.00061302	50382.607732	0.00060626
308	10074.092095	0.00012123	4896.115483	0.00005892
309	10264.169304	0.00012352	10739.866224	0.00012923
310	8743.551629	0.00010522	4896.115483	0.00005892
311	1900.772092	0.00002287	2369.088136	0.00002851
312	11404.632560	0.00013724	12003.379897	0.00014444
313	14445.867910	0.00017384	19900.340357	0.00023946
314	6272.547908	0.00007548	7739.021248	0.00009312
315	1710.694883	0.00002059	3790.541018	0.00004561
316	1710.694882	0.00002059	4580.237065	0.00005511
317	2661.080930	0.00003202	2369.088136	0.00002851
318	7793.165582	0.00009378	6159.629157	0.00007412
319	1330.540465	0.00001601	631.756834	0.00000760
320	760.308835	0.00000915	1421.452881	0.00001710
321	8363.397210	0.00010065	8844.595713	0.00010643
322	8553.474420	0.00010293	4738.176274	0.00005701
323	1330.540464	0.00001601	7265.203621	0.00008742
324	3231.312558	0.00003889	631.756838	0.00000760
325	12735.173026	0.00015326	12793.075943	0.00015394
326	11214.555351	0.00013496	11055.744642	0.00013303
327	1710.694882	0.00002059	315.878418	0.00000380
328	760.308835	0.00000915	631.756834	0.00000760
329	2661.080929	0.00003202	789.696044	0.00000950
330	3611.466976	0.00004346	631.756836	0.00000760
331	2090.849301	0.00002516	631.756836	0.00000760
332	3801.544186	0.00004575	1737.331299	0.00002091
333	1520.617673	0.00001830	947.635254	0.00001140
334	1900.772093	0.00002287	1421.452880	0.00001710
335	7793.165582	0.00009378	12477.197525	0.00015014
336	6272.547908	0.00007548	1421.452882	0.00001710
337	4181.698604	0.00005032	1895.270509	0.00002281
338	1330.540466	0.00001601	631.756834	0.00000760
339	570.231629	0.00000686	3474.662600	0.00004181
340	8553.474420	0.00010293	7107.264412	0.00008552
341	28891.735822	0.00034768	38379.227833	0.00046182
342	1330.540464	0.00001601	315.878418	0.00000380
343	760.308837	0.00000915	3790.541019	0.00004561
344	8173.320001	0.00009836	2211.148927	0.00002661
345	11024.478142	0.00013267	6317.568366	0.00007602
346	4751.930233	0.00005718	3790.541019	0.00004561
347	3231.312557	0.00003889	473.817625	0.00000570
348	3801.544187	0.00004575	3948.480229	0.00004751
